5,0.584
5,0.579
5,0.581
5,0.637
5,0.797
10,0.586
10,0.408
10,0.402
10,0.532
10,0.596
15,0.39
15,0.27
15,0.276
15,0.43
15,0.436
20,0.246
20,0.178
20,0.179
20,0.287
20,0.284
25,0.146
25,0.118
25,0.121
25,0.186
25,0.166
30,0.085
30,0.078
30,0.078
30,0.118
30,0.086
35,0.049
35,0.035
35,0.037
35,0.055
35,0.013
40,0.022
40,0.015
40,0.021
40,0.02
40,0
45,0.003
45,0.006
45,0.005
45,0.007
45,0
50,0
50,0
50,0
50,0
50,0
55,0
55,0
55,0
55,0
55,0
-1,-1
100,0.026
100,0.031
100,0.031
100,0.042
100,0.028
150,0.025
150,0.022
150,0.023
150,0.034
150,0.004
200,0.02
200,0.011
200,0.016
200,0.032
200,0
250,0.015
250,0.013
250,0.017
250,0.033
250,0
300,0.016
300,0.009
300,0.01
300,0.023
300,0
350,0.014
350,0.005
350,0.003
350,0.021
350,0
400,0.006
400,0.004
400,0.008
400,0.008
400,0
450,0
450,0.001
450,0.003
450,0.005
450,0
500,0
500,0
500,0.001
500,0.001
500,0
550,0
550,0
550,0
550,0
550,0
600,0
600,0
600,0
600,0
600,0
-1,-1
1,33
1,38
1,21
1,17
1,24
6,158
6,146
6,143
6,156
6,163
11,241
11,251
11,261
11,253
11,263
16,316
16,348
16,334
16,356
16,354
21,426
21,427
21,433
21,457
21,437
26,484
26,516
26,502
26,503
26,499
31,541
31,574
31,577
31,557
31,548
36,610
36,601
36,625
36,611
36,613
41,661
41,628
41,684
41,656
41,650
46,706
46,678
46,688
46,700
46,644
51,717
51,693
51,719
51,707
51,699
-1,-1
15,0
15,0
15,0
15,0
15,0
20,0
20,0
20,0
20,0
20,0
25,0
25,0
25,0
25,0
25,0.001
30,0.003
30,0.001
30,0
30,0.003
30,0
35,0.011
35,0.013
35,0
35,0.007
35,0
40,0.03
40,0.033
40,0.006
40,0.001
40,0.009
45,0.081
45,0.064
45,0.037
45,0.017
45,0.027
50,0.095
50,0.082
50,0.031
50,0.04
50,0.032
55,0.089
55,0.102
55,0.042
55,0.081
55,0.094
60,0.104
60,0.135
60,0.066
60,0.094
60,0.088
65,0.157
65,0.17
65,0.098
65,0.16
65,0.091
-1,-1
100,0.001
100,0.003
100,0.002
100,0.003
100,0
200,0.0245
200,0.018
200,0.022
200,0.046
200,0
300,0.0296667
300,0.032
300,0.0266667
300,0.0496667
300,0.000666667
400,0.02625
400,0.02925
400,0.02975
400,0.051
400,0.00575
500,0.0214
500,0.022
500,0.0242
500,0.0358
500,0.006
600,0.0338333
600,0.0331667
600,0.0346667
600,0.052
600,0.0161667
700,0.0191429
700,0.0174286
700,0.02
700,0.0311429
700,0.00685714
800,0.02175
800,0.024
800,0.023375
800,0.038125
800,0.017875
900,0.0262222
900,0.0306667
900,0.0304444
900,0.0471111
900,0.0266667
1000,0.025
1000,0.0275
1000,0.0267
1000,0.0468
1000,0.0245
-1,-1
15,0
15,0
15,0
15,0
15,0
20,0.002
20,0.002
20,0.002
20,0.001
20,0
25,0.0568
25,0.048
25,0.044
25,0.0632
25,0.0616
30,0.144667
30,0.111333
30,0.113333
30,0.174667
30,0.162
35,0.209143
35,0.153143
35,0.151429
35,0.221143
35,0.213143
40,0.3265
40,0.213
40,0.215
40,0.3185
40,0.3175
45,0.392
45,0.260444
45,0.259556
45,0.384
45,0.370222
50,0.438
50,0.31
50,0.31
50,0.4224
50,0.4396
55,0.492727
55,0.337091
55,0.337455
55,0.468727
55,0.467273
